date,amount,type,description
2025-10-15,5000,income,Freelance web design project
2025-10-14,850,income,Uber driving earnings
2025-10-14,250,expense,Swiggy food delivery
2025-10-13,1200,income,Graphic design gig
2025-10-13,180,expense,Petrol for bike
2025-10-12,350,expense,Electricity bill
2025-10-11,2500,income,Client payment for logo
2025-10-11,450,expense,Grocery shopping
2025-10-10,700,income,Ola rides
2025-10-10,120,expense,Mobile recharge
2025-10-09,3000,income,Website development
2025-10-09,800,expense,Rent payment
2025-10-08,600,income,Content writing
2025-10-08,200,expense,Restaurant meal
2025-10-07,1500,income,Social media management
